71-14-80-871059-001-0124221  17.6107.511    1
71-14-80-871059-001-0125221   8.8 76.51114.31
79-06-68-491059-001-03 1111  51.9156.712    1
79-06-68-491059-001-03 2221  39.8157.512    1
79-06-68-491059-001-03 3221  28.1136.812    1
79-06-68-491059-001-03 4111  50.3158.412    1
79-06-68-491059-001-03 5111  57.5  17212    1
79-06-68-491059-001-03 6221  14.2100.11114.11
79-06-68-491059-001-03 7221   9.1 81.51113.11
79-06-68-491059-001-03 8221  21.4121.612    1
79-06-68-491059-001-03 9221  12.7 94.611    1
79-06-68-491059-001-0310221     6 59.12114.51
79-06-68-491059-001-0311221  11.3 81.51115.51
79-06-68-491059-001-0312221  11.5 84.61115.81
79-06-68-491059-001-0313221  16.5105.61115.21
71-40-42-061059-001-06 121             2    1
71-40-42-061059-001-06 2111  87.3170.712    1
71-40-42-061059-001-06 3111  61.5163.212    1
71-40-42-061059-001-06 421             2    1
71-40-42-061059-001-06 521             2    1
71-40-42-061059-001-06 6111  63.2159.212    1
71-40-42-061059-001-06 7121    43154.912    1
71-40-42-061059-001-06 82221           2    1
71-40-42-061059-001-06 9221  24.1125.712    1
71-40-42-061059-001-0610221  23.1128.412    1
71-40-42-061059-001-0611221  15.6109.811    1
71-40-42-061059-001-0612221  14.1 96.41114.21
71-40-42-061059-001-0613221    10 97.41114.11
27-54-41-371060-001-01 121             2    1
27-54-41-371060-001-01 221             2    1
27-54-41-371060-001-01 52221           2    1
50-50-37-471061-001-03 121             2    1
50-50-37-471061-001-03 2111  68.3153.512    1
50-50-37-471061-001-03 3221  15.1 96.81115.21
50-50-37-471061-001-03 4221   9.1 70.32113.81
50-50-37-471061-001-03 5111  92.6152.712    1
50-50-37-471061-001-03 62221           2    1
50-50-37-471061-001-03 7221  27.2131.512    1
50-50-37-471061-001-03 8221  15.6 95.211    1
25-09-89-031062-001-01 121             2    1
25-09-89-031062-001-01 2111  68.4166.812    1
25-09-89-031062-001-01 321             2    1
25-09-89-031062-001-01 42221           2    1
25-09-89-031062-001-01 5221  34.6136.912    1
25-09-89-031062-001-01 62221           2    1
25-09-89-031062-001-01 7221  18.9111.511    1
25-09-89-031062-001-01 8221  14.4 95.21114.31
21-11-75-861063-001-01 121             2    1
21-11-75-861063-001-01 221             2    1
21-11-75-861063-001-01 3111  68.9165.312    1
21-11-75-861063-001-01 421             2    1
21-11-75-861063-001-01 522             2    1
21-11-75-861063-001-01 6221  34.2147.512    1
21-11-75-861063-001-01 7221  25.7134.512    1
21-11-75-861063-001-01 8111  76.7  17712    1
21-11-75-861063-001-01 9221  13.5 90.91115.41
21-11-75-861063-001-0110221  22.1  12312    1
21-11-75-861063-001-0111221    22124.212    1
21-11-75-861063-001-0112221  17.5108.111    1
21-11-75-861063-001-0113221  19.3111.912    1
63-59-38-211064-001-01 1111  57.5161.512    1
63-59-38-211064-001-01 3221  14.2 99.812    1
63-59-38-211064-001-01 4221  12.6 82.52114.31
