39-26-37-981000-001-014012     0                       
39-26-37-981000-001-014022     0                       
39-26-37-981000-001-014031     2    0    60000    50000
39-26-37-981000-001-014042     0                       
39-26-37-981000-001-014052     0                       
39-26-37-981000-001-014062     0                       
39-26-37-981000-001-014072     0                       
39-26-37-981000-001-014081     4    3    15000    10000
39-26-37-981000-001-014092     0                       
39-26-37-981000-001-014101     1   10        0    20000
39-26-37-981000-001-014112     0                       
39-26-37-981000-001-014121     3   10    80000    50000
39-26-37-981000-001-014132     0                       
39-26-37-981000-001-014142     0                       
39-26-37-981000-001-014152     0                       
39-26-37-981000-001-014161    65                       
39-26-37-981000-001-014172     0                       
39-26-37-981000-001-014181     1   15     5000    10000
39-26-37-981000-001-014192     0                       
39-26-37-981000-001-014201     1    5     5000     2000
39-26-37-981000-001-014212     0                       
39-26-37-981000-001-014222     0                       
39-26-37-981000-001-014232     0                       
39-26-37-981000-001-014242     0                       
39-26-37-981000-001-014252     0                       
39-26-37-981000-001-014262     0                       
39-26-37-981000-001-014272     0                       
39-26-37-981000-001-014282     0                       
39-26-37-981000-001-014292     0                       
39-26-37-981000-001-014302     0                       
39-26-37-981000-001-014311     1    3   150000   100000
39-26-37-981000-001-014321    57    2        0   300000
39-26-37-981000-001-014331    22    0     7000    10000
39-26-37-981000-001-014342     0                       
39-26-37-981000-001-014352     0                       
39-26-37-981000-001-014361     2                       
39-26-37-981000-001-014371     3   15        0  5000000
39-26-37-981000-001-014382     0                       
39-26-37-981000-001-014392     0                       
39-26-37-981000-001-014401     2                       
39-26-37-981000-001-014412     0                       
39-26-37-981000-001-014422     0                       
39-26-37-981000-001-014432     0                       
39-26-37-981000-001-014442     0                       
39-26-37-981000-001-014452     0                       
39-26-37-981000-001-014462     0                       
39-26-37-981000-001-014472     0                       
39-26-37-981000-001-014482     0                       
39-26-37-981000-001-014492     0                       
39-26-37-981000-001-014502     0                       
39-26-37-981000-001-014512     0                       
39-26-37-981000-001-014522     0                       
39-26-37-981000-001-014532     0                       
39-26-37-981000-001-014542     0                       
39-26-37-981000-001-014552     0                       
39-26-37-981000-001-014562     0                       
04-06-65-041000-001-024012     0                       
04-06-65-041000-001-024022     0                       
04-06-65-041000-001-024032     0                       
04-06-65-041000-001-024042     0                       
04-06-65-041000-001-024052     0                       
04-06-65-041000-001-024062     0                       
04-06-65-041000-001-024072     0                       
04-06-65-041000-001-024081     1    2     1000     3000
04-06-65-041000-001-024092     0                       
04-06-65-041000-001-024102     0                       
04-06-65-041000-001-024112     0                       
04-06-65-041000-001-024122     0                       
04-06-65-041000-001-024132     0                       
04-06-65-041000-001-024142     0                       
04-06-65-041000-001-024152     0                       
04-06-65-041000-001-024161    10                       
04-06-65-041000-001-024172     0                       
04-06-65-041000-001-024182     0                       
04-06-65-041000-001-024192     0                       
04-06-65-041000-001-024201     1    2    10000     3000
04-06-65-041000-001-024212     0                       
04-06-65-041000-001-024222     0                       
04-06-65-041000-001-024232     0                       
04-06-65-041000-001-024242     0                       
04-06-65-041000-001-024252     0                       
04-06-65-041000-001-024262     0                       
04-06-65-041000-001-024272     0                       
04-06-65-041000-001-024282     0                       
04-06-65-041000-001-024292     0                       
04-06-65-041000-001-024302     0                       
04-06-65-041000-001-024312     0                       
04-06-65-041000-001-024322     0                       
04-06-65-041000-001-024332     0                       
04-06-65-041000-001-024342     0                       
04-06-65-041000-001-024352     0                       
04-06-65-041000-001-024362     0                       
04-06-65-041000-001-024372     0                       
04-06-65-041000-001-024382     0                       
04-06-65-041000-001-024392     0                       
04-06-65-041000-001-024401     1                       
04-06-65-041000-001-024412     0                       
04-06-65-041000-001-024422     0                       
04-06-65-041000-001-024432     0                       
04-06-65-041000-001-024442     0                       
04-06-65-041000-001-024452     0                       
04-06-65-041000-001-024462     0                       
04-06-65-041000-001-024472     0                       
04-06-65-041000-001-024482     0                       
04-06-65-041000-001-024492     0                       
04-06-65-041000-001-024502     0                       
04-06-65-041000-001-024512     0                       
04-06-65-041000-001-024522     0                       
