39-26-37-981000-001-01 111  2   2  2    2   2  2   2   
39-26-37-981000-001-01 311  2   2  2    2   2  1  22   
39-26-37-981000-001-01 512 32   2  2    2   2  2   2   
39-26-37-981000-001-01 712 32   2  2    2   2  1  12   
04-06-65-041000-001-02 111  2   2  2    2   2  2   2   
97-90-78-651000-001-03 111  2   2  2    1  12  1  21  5
97-90-78-651000-001-03 211  2   2  2    2   2  2   2   
97-90-78-651000-001-03 412 22   2  2    2   2  2   2   
97-90-78-651000-001-03 62                              
97-90-78-651000-001-03 72                              
97-90-78-651000-001-03 811  2   2  2    2   2  2   2   
69-87-77-121000-001-06 112 22   2  2    2   2  1  22   
69-87-77-121000-001-06 211  2   2  2    2   2  2   1  3
69-87-77-121000-001-06 42                              
48-07-72-071001-001-01 111  2   2  2    2   2  1  31  3
48-07-72-071001-001-01 211  2   2  2    2   2  2   2   
48-07-72-071001-001-01 312 22   2  2    2   2  2   2   
48-07-72-071001-001-01 4                               
48-07-72-071001-001-01 511  2   2  2    2   2  2   2   
48-07-72-071001-001-01 612 12   2  2    2   2  2   2   
48-07-72-071001-001-01 711  2   2  2    2   2  2   2   
48-07-72-071001-001-01 82                              
87-35-70-531002-001-01 111  2   2  2    2   2  2   2   
87-35-70-531002-001-01 211  2   2  2    2   2  1  12   
87-35-70-531002-001-01 311  2   2  2    2   2  1  72   
90-92-88-291003-001-01 111  2   2  1   32   2  12101  1
90-92-88-291003-001-01 212 32   2  2    2   2  11501  1
90-92-88-291003-001-01 311  2   2  2    2   2  2   2   
16-34-22-801005-001-01 111  2   2  2    2   2  1  22   
16-34-22-801005-001-01 211  2   2  1   22   2  1  41  6
16-34-22-801005-001-01 312 12   2  2    2   2  1  11  4
16-34-22-801005-001-01 412 22   2  2    2   2  1  21  7
16-34-22-801005-001-01 512 22   2  2    2   2  2   2   
16-34-22-801005-001-01 62                              
66-03-93-271006-001-01 111  2   2  2    2   2  2   2   
66-03-93-271006-001-01 211  2   2  1   52   2  1 122   
66-03-93-271006-001-01 612 12   2  2    2   2  1 202   
66-03-93-271006-001-01 712 12   2  2    2   2  1 202   
71-71-16-361006-001-03 111  2   2  2    2   2  2   2   
71-71-16-361006-001-03 211  2   2  2    2   2  1  12   
71-71-16-361006-001-03 32                              
93-03-21-311006-001-04 111  2   2  2    2   2  2   2   
93-03-21-311006-001-04 211  2   2  2    2   2  1  22   
