39-26-37-981000-001-01 12                                            
39-26-37-981000-001-01 32                                            
39-26-37-981000-001-01 511      2     2     2      2     2     2     
39-26-37-981000-001-01 72                                            
04-06-65-041000-001-02 112      2     1 50002      2     2     2     
97-90-78-651000-001-03 112      2     2     2      1  5002     2     
97-90-78-651000-001-03 22                                            
97-90-78-651000-001-03 42                                            
97-90-78-651000-001-03 62                                            
97-90-78-651000-001-03 72                                            
97-90-78-651000-001-03 82                                            
69-87-77-121000-001-06 12                                            
69-87-77-121000-001-06 22                                            
69-87-77-121000-001-06 42                                            
48-07-72-071001-001-01 12                                            
48-07-72-071001-001-01 22                                            
48-07-72-071001-001-01 32                                            
48-07-72-071001-001-01 4                                             
48-07-72-071001-001-01 52                                            
48-07-72-071001-001-01 62                                            
48-07-72-071001-001-01 72                                            
48-07-72-071001-001-01 82                                            
87-35-70-531002-001-01 12                                            
87-35-70-531002-001-01 22                                            
87-35-70-531002-001-01 32                                            
90-92-88-291003-001-01 112      1 10002     2      1 10002     2     
90-92-88-291003-001-01 22                                            
90-92-88-291003-001-01 312      2     2     2      1 10001  5002     
16-34-22-801005-001-01 12                                            
16-34-22-801005-001-01 22                                            
16-34-22-801005-001-01 32                                            
16-34-22-801005-001-01 411  70002     2     2      2     2     2     
16-34-22-801005-001-01 511  70002     2     2      2     2     2     
16-34-22-801005-001-01 62                                            
66-03-93-271006-001-01 111  60002     2     2      2     2     1 1000
66-03-93-271006-001-01 22                                            
66-03-93-271006-001-01 62                                            
66-03-93-271006-001-01 72                                            
71-71-16-361006-001-03 111 210002     2     2      1 70002     2     
71-71-16-361006-001-03 22                                            
71-71-16-361006-001-03 32                                            
93-03-21-311006-001-04 111 210002     2     2      1 15002     2     
93-03-21-311006-001-04 22                                            
93-03-21-311006-001-04 32                                            
93-03-21-311006-001-04 42                                            
64-95-83-641006-001-05 111 100002     2     2      2     2     2     
64-95-83-641006-001-05 22                                            
64-95-83-641006-001-05 32                                            
54-26-09-511007-001-01 111  20002     2     2      1  5002     2     
54-26-09-511007-001-01 22                                            
54-26-09-511007-001-01 311  30002     2     2      2     2     2     
54-26-09-511007-001-01 42                                            
54-26-09-511007-001-01 511  20002     2     2      2     2     2     
91-42-46-841009-001-01 12                                            
91-42-46-841009-001-01 22                                            
91-42-46-841009-001-01 32                                            
91-42-46-841009-001-01 42                                            
34-08-29-971019-001-01 111  20002     2     2      1  5002     2     
34-08-29-971019-001-01 22                                            
34-08-29-971019-001-01 32                                            
25-94-08-501020-001-01 111 140002     2     2      1 12002     2     
25-94-08-501020-001-01 22                                            
25-94-08-501020-001-01 311   3002     2     2      1  6002     2     
42-43-09-211021-001-01 111 385001 15001 10001  45001 30001 10001 1000
88-63-59-871022-001-01 12                                            
88-63-59-871022-001-01 212      2     2     2      2     2     2     
88-63-59-871022-001-01 312      2     2     2      2     2     2     
88-63-59-871022-001-01 42                                            
88-63-59-871022-001-01 52                                            
88-63-59-871022-001-01 62                                            
67-34-56-151023-001-01 111  40002     2     2      1 15002     2     
67-34-56-151023-001-01 22                                            
67-34-56-151023-001-01 32                                            
67-34-56-151023-001-01 42                                            
61-09-84-511024-001-01 111 180002     2     2      2     2     2     
61-09-84-511024-001-01 22                                            
61-09-84-511024-001-01 32                                            
49-38-79-421025-001-02 22                                            
36-53-30-051038-001-02 211 150002     2     2      2     2     1 3000
36-53-30-051038-001-02 32                                            
36-53-30-051038-001-02 42                                            
36-53-30-051038-001-02 52                                            
06-31-99-331039-001-01 112      2     2     2      1  5002     2     
06-31-99-331039-001-01 211 140002     2     2      2     2     2     
06-31-99-331039-001-01 32                                            
06-31-99-331039-001-01 42                                            
06-31-99-331039-001-01 52                                            
