93-52-49-511179-001-0612212221211212221 6         0       0       0   1 8    2017   2
63-91-22-931191-001-0112212272211222224 5    720000       0       0   2          1  2
60-74-37-271192-001-0122212231211222224 5         0       0       0   2          1  2
09-26-67-921193-001-01  11  21 11     3 5         0       0       0   2          1  1
94-86-36-141194-001-0112212271211112221 6         0       0       0   2          36 2
25-38-03-951194-001-042212223   1     4 5 6       0       0       0   2          1  2
95-69-66-001195-001-0112212222212122223 4         0       0       0   116    2017   2
19-34-39-641196-001-0112122272 22     1 6         0       0       0   116    2002   2
68-30-00-361196-001-042221222  11     4 6         0       0       0   1 8    2020   2
02-54-47-041198-001-0112112271211222224 3 8       0       0       0   2          1  1
58-10-14-501201-001-0122112232211222223 6         0       0       0   11619  2002   2
12-73-25-801209-001-0112112271211212221 5 6       0       0       0   117    2007   2
20-96-63-721210-001-0122112271112222223 6         0       0       0   11618  2009   2
29-54-32-181212-001-0122112272221222224 4 8       0       0       0   2          1  2
17-51-90-931213-001-0112112271211112226 6         0       0       0   2          1  2
37-86-94-041215-001-0122112242211222224 6         0       0       0   2          1  2
23-14-85-731217-001-0112112271211212221 5 6       0       0       0   111    2010   2
41-93-84-741229-001-0112122222211222223 5 6       0       0       0   125    2015   2
40-87-17-221230-001-01   2              5 7 6000000       0       0   2          1  2
85-07-13-311232-001-0112112121111122214 6 7 1440000       0       0   1 116212010   2
32-06-62-051232-001-0322112272211222223 6         0       0       0   2          3  2
75-03-14-991232-001-0412212272212222223 6         0       0       0   1 8    2018   2
59-82-97-201233-001-0112212221222212216 5   1800000       0       0   1 816  1996   2
61-64-62-241235-001-02  1   21  1     4 8         0       0       0   2          1  1
40-53-63-541236-001-0112112221211212221 7         0       0  600000   2          1  2
32-46-17-361236-001-0422212272221222224 1 6       0       0       0   2          1  1
34-83-68-871239-001-0122112271211222214 5         0       0       0   2          1  1
44-29-24-031239-001-0222212272221222224 5         0       0       0   2          1  2
95-72-84-201247-001-0112112241111222224 5         0       0       0   2          1  2
42-14-42-961248-001-0122212271211212223 5         0       0       0   2          1  2
23-68-93-721249-001-0122112271111222221 6         0       0       0   2          1  2
97-64-08-951250-001-0112222271211222221 6         0       0       0   116    2018   2
19-27-15-151252-001-0122112272211222223 5         0       0       0   2          1  2
72-75-35-981253-001-0122222141221222224 5         0       0       0   2          1  2
68-42-25-671254-001-0112212271221222221 5         0       0       0   2          1  2
52-44-88-571266-001-0222212241211222224 5         0       0       0   2          1  1
73-02-97-011268-001-0112212211211122125 5         0       0       0   116    2020   2
79-77-16-341269-001-0122112221211112224 5         0       0       0   2          1  2
65-64-26-921270-001-0122212221221222221 6         0       0       0   116    2017   2
03-76-88-351272-001-0112112271211112114 6         0       0       0   2          1  2
11-63-34-921273-001-0122112272211222224 5         0       0       0   2          3  2
25-92-53-561285-001-0212212121211122211 5         0       0       0   117    2015   2
53-55-81-031286-001-0122212271211222221 5 6       0       0       0   116    2016   2
55-53-11-051287-001-0112222271122222221 6         0       0       0   119    2013   2
26-82-27-991289-001-0112112222211222224 6         0       0       0   1 516  2020   2
