39-26-37-981000-001-01 17
39-26-37-981000-001-01 24
39-26-37-981000-001-01 37
39-26-37-981000-001-01 47
39-26-37-981000-001-01 52
39-26-37-981000-001-01 60
39-26-37-981000-001-01 70
39-26-37-981000-001-01 87
39-26-37-981000-001-01 97
39-26-37-981000-001-01107
04-06-65-041000-001-02 15
04-06-65-041000-001-02 24
04-06-65-041000-001-02 30
04-06-65-041000-001-02 47
04-06-65-041000-001-02 50
04-06-65-041000-001-02 60
04-06-65-041000-001-02 73
04-06-65-041000-001-02 80
04-06-65-041000-001-02 90
04-06-65-041000-001-02100
97-90-78-651000-001-03 16
97-90-78-651000-001-03 27
97-90-78-651000-001-03 32
97-90-78-651000-001-03 47
97-90-78-651000-001-03 53
97-90-78-651000-001-03 61
97-90-78-651000-001-03 77
97-90-78-651000-001-03 87
97-90-78-651000-001-03 97
97-90-78-651000-001-03107
69-87-77-121000-001-06 17
69-87-77-121000-001-06 25
69-87-77-121000-001-06 37
69-87-77-121000-001-06 47
69-87-77-121000-001-06 54
69-87-77-121000-001-06 64
69-87-77-121000-001-06 72
69-87-77-121000-001-06 87
69-87-77-121000-001-06 97
69-87-77-121000-001-06107
48-07-72-071001-001-01 17
48-07-72-071001-001-01 20
48-07-72-071001-001-01 37
48-07-72-071001-001-01 47
48-07-72-071001-001-01 50
48-07-72-071001-001-01 60
48-07-72-071001-001-01 77
48-07-72-071001-001-01 87
48-07-72-071001-001-01 97
48-07-72-071001-001-01107
87-35-70-531002-001-01 14
87-35-70-531002-001-01 23
87-35-70-531002-001-01 35
87-35-70-531002-001-01 47
87-35-70-531002-001-01 51
87-35-70-531002-001-01 61
87-35-70-531002-001-01 77
87-35-70-531002-001-01 87
87-35-70-531002-001-01 97
87-35-70-531002-001-01107
90-92-88-291003-001-01 17
90-92-88-291003-001-01 23
90-92-88-291003-001-01 33
90-92-88-291003-001-01 47
90-92-88-291003-001-01 50
90-92-88-291003-001-01 60
90-92-88-291003-001-01 70
90-92-88-291003-001-01 87
90-92-88-291003-001-01 97
90-92-88-291003-001-01107
16-34-22-801005-001-01 17
16-34-22-801005-001-01 20
16-34-22-801005-001-01 35
16-34-22-801005-001-01 43
16-34-22-801005-001-01 50
16-34-22-801005-001-01 60
