00-25-04-46                                10                 
00-25-04-46                                20                 
00-25-04-46                                30                 
01-06-47-85                                10                 
01-06-47-85                                20                 
01-06-47-85                                30                 
01-24-57-16                                10                 
01-24-57-16                                20                 
01-24-57-16                                30                 
01-72-20-39                                10                 
01-72-20-39                                20                 
01-72-20-39                                30                 
01-82-05-19                                10                 
01-82-05-19                                20                 
01-82-05-19                                30                 
02-08-04-64                                10                 
02-08-04-64                                20                 
02-08-04-64                                30                 
02-13-48-87                                10                 
02-13-48-87                                20                 
02-13-48-87                                30                 
02-42-01-91                                10                 
02-42-01-91                                20                 
02-42-01-91                                30                 
02-47-01-60                                10                 
02-47-01-60                                20                 
02-47-01-60                                30                 
02-66-66-02                                10                 
02-66-66-02                                20                 
02-66-66-02                                30                 
03-22-58-12                                10                 
03-22-58-12                                20                 
03-22-58-12                                30                 
03-45-67-62                                10                 
03-45-67-62                                20                 
03-45-67-62                                30                 
03-46-31-84                                10                 
03-46-31-84                                20                 
03-46-31-84                                30                 
03-56-36-64                                10                 
03-56-36-64                                20                 
03-56-36-64                                30                 
03-77-08-35                                10                 
03-77-08-35                                20                 
03-77-08-35                                30                 
03-98-19-33                                10                 
03-98-19-33                                20                 
03-98-19-33                                30                 
04-16-80-99                                10                 
04-16-80-99                                20                 
04-16-80-99                                30                 
04-20-86-53                                10                 
04-20-86-53                                20                 
04-20-86-53                                30                 
04-31-96-12                                10                 
04-31-96-12                                20                 
04-31-96-12                                30                 
04-49-66-61                                10                 
04-49-66-61                                20                 
04-49-66-61                                30                 
04-72-35-98                                10                 
04-72-35-98                                20                 
04-72-35-98                                30                 
05-18-84-95                                10                 
05-18-84-95                                20                 
05-18-84-95                                30                 
05-21-82-83                                10                 
05-21-82-83                                20                 
05-21-82-83                                30                 
05-51-66-23                                10                 
05-51-66-23                                20                 
05-51-66-23                                30                 
05-55-20-57                                10                 
05-55-20-57                                20                 
05-55-20-57                                30                 
05-55-54-25                                10                 
05-55-54-25                                20                 
05-55-54-25                                30                 
05-96-73-20                                10                 
05-96-73-20                                20                 
05-96-73-20                                30                 
06-05-50-78                                10                 
06-05-50-78                                20                 
06-05-50-78                                30                 
06-37-03-07                                10                 
06-37-03-07                                20                 
06-37-03-07                                30                 
06-47-61-53                                10                 
06-47-61-53                                20                 
06-47-61-53                                30                 
06-95-26-82                                10                 
06-95-26-82                                20                 
06-95-26-82                                30                 
06-95-53-32                                10                 
06-95-53-32                                20                 
06-95-53-32                                30                 
06-96-70-64                                10                 
06-96-70-64                                20                 
06-96-70-64                                30                 
07-12-97-68                                10                 
07-12-97-68                                20                 
07-12-97-68                                30                 
07-19-26-64                                10                 
07-19-26-64                                20                 
07-19-26-64                                30                 
07-73-19-27                                10                 
07-73-19-27                                20                 
07-73-19-27                                30                 
07-89-96-52                                10                 
07-89-96-52                                20                 
07-89-96-52                                30                 
08-20-01-66                                10                 
08-20-01-66                                20                 
08-20-01-66                                30                 
08-26-26-27                                10                 
08-26-26-27                                20                 
08-26-26-27                                30                 
08-52-73-98                                10                 
08-52-73-98                                20                 
08-52-73-981bb43407e5e14e4ea2f6a12758f985b531        1 1250000
09-09-71-46                                10                 
09-09-71-46                                20                 
09-09-71-46                                30                 
09-18-23-46                                10                 
09-18-23-46                                20                 
09-18-23-46                                30                 
09-74-42-02                                10                 
09-74-42-02                                20                 
09-74-42-02                                30                 
09-98-78-45                                10                 
09-98-78-45                                20                 
09-98-78-45                                30                 
10-00-56-46                                10                 
10-00-56-46                                20                 
10-00-56-46                                30                 
10-15-01-02                                10                 
10-15-01-02                                20                 
10-15-01-02                                30                 
10-61-60-35                                10                 
10-61-60-35                                20                 
10-61-60-35                                30                 
11-26-46-52                                10                 
11-26-46-52                                20                 
11-26-46-52                                30                 
11-28-44-98                                10                 
11-28-44-98                                20                 
11-28-44-98                                30                 
11-62-61-27                                10                 
11-62-61-27                                20                 
11-62-61-27                                30                 
12-34-68-20                                10                 
12-34-68-20                                20                 
12-34-68-20                                30                 
12-43-07-80                                10                 
12-43-07-80                                20                 
12-43-07-80                                30                 
12-87-61-13                                10                 
12-87-61-13                                20                 
12-87-61-13                                30                 
12-90-48-34                                10                 
12-90-48-34                                20                 
12-90-48-34                                30                 
13-10-41-09                                10                 
13-10-41-09                                20                 
13-10-41-09                                30                 
13-42-52-99                                10                 
13-42-52-99                                20                 
13-42-52-99                                30                 
13-43-11-98                                10                 
13-43-11-98                                20                 
13-43-11-98                                30                 
13-75-01-91                                10                 
13-75-01-91                                20                 
13-75-01-91                                30                 
13-86-41-70                                10                 
13-86-41-70                                20                 
13-86-41-70                                30                 
13-90-90-46                                10                 
13-90-90-46                                20                 
13-90-90-46                                30                 
13-91-33-31                                10                 
13-91-33-31                                20                 
13-91-33-31                                30                 
14-25-36-11                                10                 
14-25-36-11                                20                 
14-25-36-11                                30                 
14-78-98-65                                10                 
14-78-98-65                                20                 
14-78-98-65                                30                 
14-88-21-28                                10                 
14-88-21-28                                20                 
14-88-21-28                                30                 
15-14-18-98                                10                 
15-14-18-98                                20                 
15-14-18-98                                30                 
15-18-34-06                                10                 
15-18-34-06                                20                 
15-18-34-06                                30                 
15-18-39-59                                10                 
15-18-39-59                                20                 
15-18-39-59                                30                 
15-37-10-99                                10                 
15-37-10-99                                20                 
15-37-10-99                                30                 
15-38-21-02                                10                 
15-38-21-02                                20                 
15-38-21-02                                30                 
15-43-13-32                                10                 
15-43-13-32                                20                 
15-43-13-32                                30                 
15-72-61-48                                10                 
15-72-61-48                                20                 
15-72-61-48                                30                 
15-76-36-37                                10                 
15-76-36-37                                20                 
15-76-36-37                                30                 
15-95-84-19                                10                 
15-95-84-19                                20                 
15-95-84-19                                30                 
16-03-65-14                                10                 
16-03-65-14                                20                 
16-03-65-14                                30                 
16-08-16-73                                10                 
16-08-16-73                                20                 
16-08-16-73                                30                 
16-19-85-85                                10                 
16-19-85-85                                20                 
16-19-85-85                                30                 
16-49-36-99                                10                 
16-49-36-99                                20                 
16-49-36-99                                30                 
16-88-05-29                                10                 
16-88-05-29                                20                 
16-88-05-29                                30                 
17-36-03-69                                10                 
17-36-03-69                                20                 
17-36-03-69                                30                 
17-40-86-49                                10                 
17-40-86-49                                20                 
17-40-86-49                                30                 
17-79-17-09                                10                 
17-79-17-09                                20                 
17-79-17-09                                30                 
17-89-27-01                                10                 
17-89-27-01                                20                 
17-89-27-01                                30                 
18-08-37-11                                10                 
18-08-37-11                                20                 
18-08-37-11                                30                 
18-17-35-50                                10                 
18-17-35-50                                20                 
18-17-35-50                                30                 
18-25-05-22                                10                 
18-25-05-22                                20                 
18-25-05-22                                30                 
18-31-12-38                                10                 
18-31-12-38                                20                 
18-31-12-38                                30                 
18-57-85-56                                10                 
18-57-85-56                                20                 
18-57-85-56                                30                 
18-69-36-93                                10                 
18-69-36-93                                20                 
18-69-36-93                                30                 
19-25-14-50                                10                 
19-25-14-50                                20                 
19-25-14-50                                30                 
19-32-48-58                                10                 
19-32-48-58                                20                 
19-32-48-58                                30                 
19-41-11-33                                10                 
19-41-11-33                                20                 
19-41-11-33                                30                 
19-62-24-10                                10                 
19-62-24-10                                20                 
19-62-24-10                                30                 
19-86-35-77                                10                 
19-86-35-77                                20                 
19-86-35-77                                30                 
20-14-91-34                                10                 
20-14-91-34                                20                 
20-14-91-34                                30                 
20-70-41-87                                10                 
20-70-41-87                                20                 
20-70-41-87                                30                 
20-70-55-59                                10                 
20-70-55-59                                20                 
20-70-55-59                                30                 
20-81-51-95                                10                 
20-81-51-95                                20                 
20-81-51-95                                30                 
20-99-51-49                                10                 
20-99-51-49                                20                 
20-99-51-49                                30                 
21-01-77-43                                10                 
21-01-77-43                                20                 
21-01-77-43                                30                 
21-06-86-31                                10                 
21-06-86-31                                20                 
21-06-86-31                                30                 
21-22-59-73                                10                 
21-22-59-73                                20                 
21-22-59-73                                30                 
21-58-46-84                                10                 
21-58-46-84                                20                 
21-58-46-84e167edae1264402caad7fd6007f8ebce31        3  750000
21-75-41-89                                10                 
21-75-41-89                                20                 
21-75-41-89b4688b9b5df1411fb72588d659f0855031       10        
21-77-87-53                                10                 
21-77-87-53                                20                 
21-77-87-53                                30                 
22-15-51-55                                10                 
22-15-51-55                                20                 
22-15-51-55                                30                 
22-31-06-49                                10                 
22-31-06-49                                20                 
22-31-06-49                                30                 
23-06-49-35                                10                 
23-06-49-35                                20                 
23-06-49-35                                30                 
23-20-71-88                                1                  
23-20-71-88                                2                  
23-20-71-88                                3                  
23-25-29-43                                10                 
23-25-29-43                                20                 
23-25-29-43                                30                 
23-37-02-38                                10                 
23-37-02-38                                20                 
23-37-02-38                                30                 
23-45-19-58                                10                 
23-45-19-58                                20                 
23-45-19-58                                30                 
23-48-88-31                                10                 
23-48-88-31                                20                 
23-48-88-31                                30                 
23-59-46-86                                10                 
23-59-46-86                                20                 
23-59-46-86                                30                 
23-96-87-25                                1                  
23-96-87-25                                2                  
23-96-87-25                                3                  
24-61-44-03                                10                 
24-61-44-03                                20                 
24-61-44-03                                30                 
24-89-09-94                                10                 
24-89-09-94                                20                 
24-89-09-94e7dfecff6ffe4286aa2195d8bcb3486d31        0       0
25-17-54-76                                10                 
25-17-54-76                                20                 
25-17-54-76                                30                 
25-18-70-60                                10                 
25-18-70-60c2b5fc68a90d40849ab1387e4f8d82df21                 
25-18-70-60                                30                 
25-29-15-47                                10                 
25-29-15-47                                20                 
25-29-15-47                                30                 
25-31-09-10                                10                 
25-31-09-10                                20                 
25-31-09-10                                30                 
25-48-61-60                                10                 
25-48-61-60                                20                 
25-48-61-60                                30                 
25-61-70-00                                10                 
25-61-70-00                                20                 
25-61-70-00                                30                 
25-66-18-83                                10                 
25-66-18-83                                20                 
25-66-18-83                                30                 
25-76-69-65                                10                 
25-76-69-65                                20                 
25-76-69-65                                30                 
25-83-12-16                                10                 
25-83-12-16                                20                 
25-83-12-16                                30                 
26-24-28-41                                10                 
26-24-28-41                                20                 
26-24-28-41                                30                 
26-26-10-66                                10                 
26-26-10-66                                20                 
26-26-10-66                                30                 
26-26-74-78                                10                 
26-26-74-78                                20                 
26-26-74-78                                30                 
26-45-77-73                                10                 
26-45-77-73                                20                 
26-45-77-73                                30                 
26-49-97-56                                10                 
26-49-97-56                                20                 
26-49-97-56                                30                 
26-70-20-65                                10                 
26-70-20-65                                20                 
26-70-20-65                                30                 
27-01-55-62                                10                 
27-01-55-62                                20                 
27-01-55-62                                30                 
27-07-13-10                                10                 
27-07-13-10                                20                 
27-07-13-10                                30                 
27-07-69-25                                10                 
27-07-69-25                                20                 
27-07-69-25                                30                 
27-12-97-63                                10                 
27-12-97-63                                20                 
27-12-97-63                                30                 
27-21-42-62                                10                 
27-21-42-62                                20                 
27-21-42-62                                30                 
