05-51-66-234833c9f491c54adbb73fe058464849342021-11-18T13:29:3516167  81  2       18**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-19T07:39:15111443334
05-55-20-57c51527bf510e483796d30dadec0ff31c2021-05-28T09:32:13 7 72 252  2       12**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-28T07:11:55144441444
05-55-54-25f90128b15fd84712b23da52ea102218d2021-09-21T11:59:4020206  21  2        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-09-22T10:29:15114441144
05-96-73-206455054c25784852a537e4751f8f435b2021-05-21T12:19:25 7 73  92  1       67**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-21T08:43:19144143314
06-05-50-7860193fdc4caa4cdb9fde1514af28d7ce2021-05-24T15:03:00 6 61  53  2      305**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-24T13:09:34144433134
06-37-03-075b8bf508d5f348ebb1c1036d8b835f2d2021-01-16T10:21:37 5 56                **CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-16T07:24:53144443334
06-47-61-53a7040ead2d704226862bb5fb5c8b8d7b2021-02-03T13:07:3314141 231  5        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-02-03T10:28:19144144344
06-95-26-82803d457b03ca4e4b801d8304104f4fb92021-01-18T11:15:5418184 141  1        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-19T09:40:59111441144
06-95-53-3223a3d549fce64c1c8b5d098295e3c6632021-08-21T10:34:2912127 181  1        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-21T08:57:52144111111
06-96-70-6499075a0d1bc24d8a92e75019bd11180f2021-07-24T12:40:1318183 191  6        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-24T13:37:25133443343
07-12-97-68bd4828f9b20c4f6abfe4a359eada7e212020-12-26T11:03:3713133  41  4        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-26T08:06:09111144334
07-19-26-64778379d74dd544b4b83aaef828e357f72021-10-13T11:44:5519193  92  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-13T09:58:38114144414
07-73-19-278413b3343ec241268771b9ac10d4dae32021-03-02T15:55:41 7 72 192  4       37                **CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-02T07:31:23144443444
07-89-96-529f4c62c6c3244f098bec2ef1896d8f9f2021-10-02T11:30:4019191  32  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-02T08:57:43111411414
08-20-01-66db325630a8554f86bb31812f0648565c2020-12-19T09:17:4218187  91  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-19T08:21:26111343334
08-26-26-27224b985bcd714f44b0693952221044322021-06-23T11:24:5920205  92  4        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-06-26T07:48:58444441444
08-52-73-981bb43407e5e14e4ea2f6a12758f985b52021-05-05T13:43:4723233 221  1        7**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-05T10:49:05111141111
