54-26-09-511007-001-01 5   0        2  2                
54-26-09-511007-001-01 6   0        2  1     1 92  35000
54-26-09-511007-001-01 7   0        2  1     1 92      0
54-26-09-511007-001-01 8   0        2  2                
54-26-09-511007-001-01 9   0        2  2                
54-26-09-511007-001-0110   0        2  2                
54-26-09-511007-001-0111   0        2  2                
54-26-09-511007-001-0112   0        2  2                
54-26-09-511007-001-0113   1   300001212                
54-26-09-511007-001-0114   0        2  2                
54-26-09-511007-001-0115   0        2  2                
91-42-46-841009-001-01 1   2   1000011 2                
91-42-46-841009-001-01 2   1   3000011 2                
91-42-46-841009-001-01 3   0        2  2                
91-42-46-841009-001-01 4   0        2  2                
91-42-46-841009-001-01 5   0        2  2                
91-42-46-841009-001-01 6   1 300000011 2                
91-42-46-841009-001-01 7   1  70000011 2                
91-42-46-841009-001-01 8   0        2  2                
91-42-46-841009-001-01 9   0        2  1     1 21  15000
91-42-46-841009-001-0110   0        2  2                
91-42-46-841009-001-0111   0        2  2                
91-42-46-841009-001-0112   0        2  2                
91-42-46-841009-001-0113   0        2  2                
91-42-46-841009-001-0114   0        2  2                
91-42-46-841009-001-0115   0        2  2                
49-38-79-421025-001-02 1   1    500011 2                
49-38-79-421025-001-02 2   0        2  2                
49-38-79-421025-001-02 3   0        2  2                
49-38-79-421025-001-02 4   0        2  2                
49-38-79-421025-001-02 5   0        2  2                
49-38-79-421025-001-02 6   0        2  2                
49-38-79-421025-001-02 7   0        2  2                
49-38-79-421025-001-02 8   0        2  2                
49-38-79-421025-001-02 9   0        2  2                
49-38-79-421025-001-0210   0        2  2                
49-38-79-421025-001-0211   0        2  2                
49-38-79-421025-001-0212   0        2  2                
49-38-79-421025-001-0213   0        2  2                
49-38-79-421025-001-0214   0        2  2                
49-38-79-421025-001-0215   0        2  2                
86-53-32-921042-001-01 1   0        2  2                
86-53-32-921042-001-01 2   0        2  2                
86-53-32-921042-001-01 3   0        2  2                
86-53-32-921042-001-01 4   0        2  2                
86-53-32-921042-001-01 5   0        2  2                
86-53-32-921042-001-01 6   0        2  1     1 11      0
86-53-32-921042-001-01 7   0        2  2                
86-53-32-921042-001-01 8   0        2  2                
86-53-32-921042-001-01 9   0        2  2                
86-53-32-921042-001-0110   0        2  2                
86-53-32-921042-001-0111   0        2  2                
86-53-32-921042-001-0112   0        2  2                
86-53-32-921042-001-0113   0        2  2                
86-53-32-921042-001-0114   0        2  2                
86-53-32-921042-001-0115   0        2  2                
51-52-11-491044-001-01 1   0        2  1     1 31      0
51-52-11-491044-001-01 2   0        2  1     1 31      0
51-52-11-491044-001-01 3   0        2  2                
51-52-11-491044-001-01 4   0        2  2                
51-52-11-491044-001-01 5   0        2  2                
51-52-11-491044-001-01 6   0        2  2                
51-52-11-491044-001-01 7   0        2  2                
51-52-11-491044-001-01 8   0        2  2                
51-52-11-491044-001-01 9   0        2  2                
51-52-11-491044-001-0110   0        2  2                
51-52-11-491044-001-0111   0        2  2                
51-52-11-491044-001-0112   0        2  2                
51-52-11-491044-001-0113   0        2  2                
51-52-11-491044-001-0114   0        2  2                
51-52-11-491044-001-0115   0        2  2                
68-51-31-951058-001-01 1   1    300011 1     1 31      0
68-51-31-951058-001-01 2   0        2  2                
68-51-31-951058-001-01 3   0        2  1     1 21 100000
68-51-31-951058-001-01 4   0        2  2                
68-51-31-951058-001-01 5   0        2  2                
68-51-31-951058-001-01 6   0        2  2                
68-51-31-951058-001-01 7   0        2  2                
68-51-31-951058-001-01 8   0        2  2                
68-51-31-951058-001-01 9   0        2  2                
68-51-31-951058-001-0110   0        2  2                
68-51-31-951058-001-0111   0        2  2                
68-51-31-951058-001-0112   0        2  2                
68-51-31-951058-001-0113   0        2  2                
68-51-31-951058-001-0114   0        2  2                
71-14-80-871059-001-01 1   5   5000011 2                
71-14-80-871059-001-01 2   1   5000011 2                
71-14-80-871059-001-01 3   1  12000011 2                
71-14-80-871059-001-01 4   0        2  2                
71-14-80-871059-001-01 5   1  70000011 2                
71-14-80-871059-001-01 6   0        2  2                
