00-25-04-46918880d8725c48aabce7739fa26ff405 1                        
00-25-04-46918880d8725c48aabce7739fa26ff405 22  667   800            
00-25-04-46918880d8725c48aabce7739fa26ff405 3                        
00-25-04-46918880d8725c48aabce7739fa26ff405 42  589   200            
00-25-04-46918880d8725c48aabce7739fa26ff405 5                        
00-25-04-46918880d8725c48aabce7739fa26ff405 6                        
00-25-04-46918880d8725c48aabce7739fa26ff405 7                        
00-25-04-46918880d8725c48aabce7739fa26ff405 8                        
00-25-04-46918880d8725c48aabce7739fa26ff405 9                        
00-25-04-46918880d8725c48aabce7739fa26ff40510                        
00-25-04-46918880d8725c48aabce7739fa26ff40511                        
00-25-04-46918880d8725c48aabce7739fa26ff40512                        
00-25-04-46918880d8725c48aabce7739fa26ff40513                        
00-25-04-46918880d8725c48aabce7739fa26ff40514                        
00-25-04-46918880d8725c48aabce7739fa26ff405152 1754  1000            
00-25-04-46918880d8725c48aabce7739fa26ff405162 1550  1000            
00-25-04-46918880d8725c48aabce7739fa26ff40517                        
00-25-04-46918880d8725c48aabce7739fa26ff405182 1424   500            
00-25-04-46918880d8725c48aabce7739fa26ff40519                        
00-25-04-46918880d8725c48aabce7739fa26ff405201    1  2700            
00-25-04-46918880d8725c48aabce7739fa26ff405212  620  1000            
00-25-04-46918880d8725c48aabce7739fa26ff40522                        
00-25-04-46918880d8725c48aabce7739fa26ff40523                        
00-25-04-46918880d8725c48aabce7739fa26ff40524                        
00-25-04-46918880d8725c48aabce7739fa26ff405252  264   200            
00-25-04-46918880d8725c48aabce7739fa26ff405262  342   500            
00-25-04-46918880d8725c48aabce7739fa26ff405272  382   500            
00-25-04-46918880d8725c48aabce7739fa26ff40528                        
00-25-04-46918880d8725c48aabce7739fa26ff405292 2250   500            
00-25-04-46918880d8725c48aabce7739fa26ff405302  104   100            
00-25-04-46918880d8725c48aabce7739fa26ff405312  249   100            
00-25-04-46918880d8725c48aabce7739fa26ff405322  577   200            
