31-67-12-821152-001-01 211   1200  210000 1   1   91 912       2             20  0  0  10   0
31-48-95-021155-001-01 602                             2       2              7  0  0   8   0
39-24-29-811159-001-01 212                             2       2              8  0  0   2   0
02-54-47-041198-001-01 602                             2       2             50  0  0  10   0
23-14-85-731217-001-01 601    150   50000 1 2 1 2 23 232       2             70  0  0  30   0
40-87-17-221230-001-01 452                             2       2            150  0  0   0   0
85-07-13-311232-001-01 442                             2       2              5  0  0   0   0
59-82-97-201233-001-01 452                             2       2            200  0  0   0   0
61-64-62-241235-001-02 342                             2       2              4  0  0   0   0
61-64-62-241235-001-02 602                             2       2             25  0  0   0   0
28-24-87-551305-001-01 612                             1   172 2              0  0  0   0   0
65-62-10-781323-001-01 602                             2       2             20  0  0   0   0
00-63-85-411325-001-01 602                             2       2             30  0  0   0   0
14-23-99-911333-001-01 602                             2       2             30  0  0   0   0
35-22-61-351401-001-01 342                             2       2              5  0  0   0   0
39-91-71-061403-001-01 602                             2       2             60  0  0   0   0
59-62-66-411420-001-01 602                             2       2             22  0  0   0   0
66-75-13-741421-001-01 442                             2       2              0  0  0  25   0
79-50-93-441462-001-01 212                             2       2             30  0  0  18   0
79-50-93-441462-001-01 452                             2       2             34  0  0   6   0
79-50-93-441462-001-01 602                             2       2             35  0  0  35   0
35-70-97-651519-001-01 452                             2       2            480  0  0  40   0
35-10-30-261552-001-01 452                             2       2             50  0  0  10   0
35-10-30-261552-001-01 602                             2       2            100  0  0   0   0
87-34-09-051553-001-03 452                             2       2             20  0  0   0   0
87-34-09-051553-001-03 602                             2       2            120  0  0  40   0
18-78-78-831554-001-01 462                             2       2              2  0  0   3   0
72-28-96-801555-001-01 602                             2       2             30  0  0  10   0
98-95-18-171556-001-01 452                             2       2             80  0  0   0   0
98-95-18-171556-001-01 602                             2       2             65  0  0   0   0
87-14-18-771557-001-01 342                             1  1522 2              0  0  0   0   0
87-14-18-771557-001-01 442                             2       2             40  0  0   0   0
87-14-18-771557-001-01 452                             2       2             20  0  0   0   0
87-14-18-771557-001-01 462                             2       2              6  0  0   0   0
87-14-18-771557-001-01 602                             2       2              5  0  0   0   0
28-18-07-541573-001-01 452                             2       2             90  0  0  16   0
26-44-95-551594-001-01 602                             2       2             40  0  0   0   0
00-17-71-971596-001-01 212                             2       2            200  0  0 560 140
00-17-71-971596-001-01 442                             2       2            150  0  0   0   0
00-17-71-971596-001-01 541     80  280000 1 2 1 2 61 612       2              0  0  0   0   0
00-17-71-971596-001-01 601   1750  350000 1 2 1 2 21 212       2            250  0  0 250   0
00-17-71-971596-001-013021    800  800000 1 2 1 2 21 212       2            200  0  0   0   0
00-17-71-971596-001-013032                             2       2              0  0  01000   0
00-17-71-971596-001-013041 200000 2240000 1 2 1 2 91 932       2              0  0  0   0   0
00-17-71-971596-001-013052                             2       2              0  0  0  50   0
26-30-52-401614-001-01 452                             2       2             80  0  0  20   0
22-38-66-351705-001-01 212                             2       2            350  0  0   0   0
22-38-66-351705-001-01 452                             2       2           8000  0  0   0   0
22-38-66-351705-001-01 602                             2       2            140  0  0   0   0
63-97-16-081725-001-01 572                             2       2             50  0  0   0   0
63-97-16-081725-001-01 602                             2       2              5  0  0   0   0
15-97-35-811745-001-01 211    660  220000 1   1   21 212       2             60  0  0  60   0
15-97-35-811745-001-01 342                             2       2             25  0  0  11   0
60-65-34-171746-001-01 342                             2       2              2  0  0   1   0
60-65-34-171746-001-01 602                             2       2              7  0  0   0   0
99-84-02-401764-001-01 602                             2       2             30  0  0   0   0
88-80-90-941766-001-01 572                             2       2             30  0  0   0   0
17-64-18-791768-001-01 212                             2       2             70  0  0   0   0
17-64-18-791768-001-01 602                             2       2             15  0  0   0   0
11-59-35-061785-001-03 212                             2       2             10  0  0   0   0
03-94-16-921799-001-01 342                             1  2042 2             50  0  0  10   0
96-34-88-551800-001-01 212                             2       2              5  0  0   0   0
03-14-29-971820-001-01 452                             2       2             25  0  0   0   0
49-86-16-681843-001-013012                             2       2             30  0  0  15   0
15-55-16-651876-001-02 212                             2       2             60  0  0   0   0
08-43-62-701893-001-01 212                             1  6522 2            100  0  0  30   0
55-83-06-851932-001-04 211    300   60000 1 2 1 2 92 921 20062 2            520  0  0  80   0
66-14-94-181935-001-01 212                             2       2             50  0  0   0   0
98-18-22-891937-001-02 211    150   60000 2   2   21 111 45042 2            250  0  0   0   0
05-92-83-741938-001-02 212                             2       2            150  0  0   0   0
05-92-83-741938-001-02 541     24   24000 1 2 1 2 71 712       2              0  0  0   0   0
05-92-83-741938-001-02 602                             2       2             50  0  0   0   0
05-92-83-741938-001-029982                             2       2            300  0  0   0   0
16-23-33-321957-001-01 212                             2       2            120  0  0   0   0
78-73-09-301976-001-01 342                             1   542 2             24  0  0   6   0
86-15-44-911994-001-03 601     30   10000 1 2 1 2 21 212       2             45  0  0  15   0
86-15-44-911994-001-033021    160    4000 1 2 1 2 91 912       2           1020  0  0 320   0
27-69-09-192010-001-013041    800 4000000 1   1   93 932       2              0  0  0   0   0
27-69-09-192010-001-019981    360 1080000 1 2 1 2 91 912       2            150  0  0 110   0
67-18-23-872011-001-013041  48480  790000 1   1 2 92 922       2              0  0  0   0   0
62-61-78-732046-001-01 212                             2       2             60  0  0   0   0
62-61-78-732046-001-013021   1000  250000 1 2 1 2 91 912       2            200  0  0  60   0
94-12-64-072064-001-01 541    120  120000 1   1   93 932       2              0  0  0   0   0
17-99-58-672065-001-01 212                             2       2            240  0  0   0   0
17-99-58-672065-001-01 541    180   90000 1 2 1 2 93 932       2              0  0  0   0   0
77-92-16-672066-001-01 541    630  756000 1   1   61 612       2              0  0  0   0   0
35-93-00-792068-001-01 541     55  165000 1   1   91 912       2              0  0  0   0   0
98-95-98-622070-001-01 212                             2       2            240  0  0   0   0
98-95-98-622070-001-01 541    163  198000 1 2 1 2 91 912       2              0  0  0   0   0
24-27-78-932083-001-01 541     60   72000 2   2   61 612       2              0  0  0   0   0
50-36-50-822086-001-01 212                             2       2             50  0  0   0   0
92-24-01-442088-001-01 212                             2       2            300  0  0   0   0
31-32-30-422089-001-01 212                             2       2             80  0  0   0   0
31-32-30-422089-001-01 541     15   17500 1   1   61 612       2              0  0  0   0   0
73-31-47-952102-001-01 541    110  120000 1   1   91 912       2              0  0  0   0   0
02-38-53-952103-001-01 541    385  560000 1   1  113 932       2              0  0  0   0   0
34-93-93-402105-001-01 541    222  222000 1   1   61 612       2              0  0  0   0   0
34-93-93-402105-001-01 602                             2       2             42  0  0   0   0
82-80-81-612105-001-02 541    180  180000 6   6   61 612       2              0  0  0   0   0
21-33-89-792107-001-01 211     12   15000 1 2 1 2 41 412       2            108  0  0   0   0
21-33-89-792107-001-01 541    360  381000 1 2 1 2 61 612       2              0  0  0   0   0
21-33-89-792107-001-013042                             2       2             50  0  0   0   0
08-12-12-352108-001-01 541   1000 1200000 1   1   61 612       2              0  0  0   0   0
46-01-30-672109-001-01 541     65  200000 1   1   94 942       2              0  0  0   0   0
89-05-97-182110-001-01 211    100   15000 1   1   21 211  8042 2             20  0  0   0   0
89-05-97-182110-001-01 541    120  170000 1   1   61 612       2              0  0  0   0   0
89-05-97-182110-001-01 602                             2       2              7  0  0   0   0
89-05-97-182110-001-019982                             2       2            100  0  0   0   0
19-03-71-262121-001-01 541    150  150000 1   1   61 612       2             10  0  0   0   0
72-87-81-322122-001-01 212                             2       2            480  0  0   0   0
72-87-81-322122-001-01 542                             2       2             55  0  0   0   0
62-47-33-372123-001-01 212                             1  1242 2            108  0  0   0   0
62-47-33-372123-001-01 541     30   27000 1   1   91 912       2             20  0  0  10   0
62-47-33-372123-001-01 602                             2       2             72  0  0  36   0
62-47-33-372123-001-013042                             2       2            400  0  0   0   0
37-05-92-602124-001-01 212                             1  5042 2            200  0  0   0   0
37-05-92-602124-001-01 541    750  900000 1   1   61 612       2              0  0  0   0   0
37-05-92-602124-001-01 602                             2       2             10  0  0   0   0
37-05-92-602124-001-013041    200  500000 1   1   21 212       2            300  0  0   0   0
37-05-92-602124-001-019982                             2       2            100  0  0   0   0
85-54-66-362125-001-01 541    110  132000 1   1   61 612       2              0  0  0   0   0
35-74-58-192126-001-01 212                             2       2             50  0  0   0   0
35-74-58-192126-001-01 602                             2       2              5  0  0   0   0
94-09-90-452127-001-01 212                             2       2            160  0  0   0   0
94-09-90-452127-001-01 541     60   60000 1 2 1 2 71 712       2              0  0  0   0   0
41-24-37-002128-001-01 212                             2       2             35  0  0   0   0
41-24-37-002128-001-01 602                             2       2             53  0  0   0   0
96-25-27-682140-001-01 212                             2       2            120  0  0   0   0
96-25-27-682140-001-01 442                             2       2             50  0  0   0   0
96-25-27-682140-001-01 541    210  210000 1 2 1 2 91 912       2              0  0  0   0   0
96-25-27-682140-001-013041    350   75000 1 2 1 21611612       2            100  0  0   0   0
60-98-83-842141-001-01 212                             2       2            150  0  0   0   0
60-98-83-842141-001-01 442                             2       2              4  0  0   0   0
49-89-60-442142-001-01 212                             2       2             72  0  0   0   0
49-89-60-442142-001-01 441    175   37500 1   1   21 212       2            125  0  0   0   0
49-89-60-442142-001-01 541     30   30000 1   1   92 922       2              0  0  0   0   0
49-89-60-442142-001-013032                             2       2            180  0  0   0   0
47-33-48-342143-001-01 542                             2       2             18  0  0   0   0
41-90-49-082143-001-02 212                             2       2            240  0  0   0   0
42-74-37-602144-001-01 442                             2       2             60  0  0   0   0
42-74-37-602144-001-01 541    100   20000 1   1   91 911  4012 2             40  0  0   0   0
42-74-37-602144-001-013041    600  210000 1   1   91 912       2              0  0  0   0   0
51-55-51-262145-001-01 212                             2       2            100  0  0   0   0
51-55-51-262145-001-01 541    110  165000 1   1   91 912       2              0  0  0   0   0
51-55-51-262145-001-01 602                             2       2            200  0  0   0   0
51-55-51-262145-001-013041   1000  250000 1   1   21 212       2              0  0  0   0   0
88-95-93-562146-001-01 212                             2       2             60  0  0   0   0
88-95-93-562146-001-01 541    950 1235000 1   1   62 622       2              0  0  0   0   0
37-02-89-812146-001-03 212                             2       2             20  0  0   0   0
37-02-89-812146-001-03 541     30   39000 1   1   62 622       2              0  0  0   0   0
98-78-94-132147-001-01 541     20   20000 1 2 1 2 91 912       2              0  0  0   0   0
