41-24-27-931781-001-01 2MAHINDI          11217 11 15 34 41                   0   8642                                 2      
00-71-13-591782-001-03 1MAHINDI          111 1 11                          3001  3002                                 1 15000
00-71-13-591782-001-03 2ALIZETI          411 3 41                           202   902                                 1  7000
00-71-13-591782-001-03 3ALIZETI          41210 41                           701   902                                 2      
70-69-92-641783-001-01 1MAHINDI          111 1 11                          4321  4322                                 1 24000
70-69-92-641783-001-01 2UWELE            141 1 14                          1701  1702                                 1  8500
70-69-92-641783-001-01 3ULEZI            151 1 15                          1101  1102                                 1  5500
70-69-92-641783-001-01 4ALIZETI          411 3 41                           212   842                                 1 14000
70-69-92-641783-001-01 5ALIZETI          41210 41                           631   842                                 2      
94-30-16-271784-001-01 1MAHINDI          111 1 11                          2151  2152                                 1 12000
31-80-34-981785-001-02 1MAHINDI          111 1 11                          4401  4402                                 1 22000
31-80-34-981785-001-02 2ALIZETI          411 3 41                           182   702                                 1  6000
31-80-34-981785-001-02 3ALIZETI          41210 41                           501   702                                 2      
11-59-35-061785-001-03 1MAHINDI          111 1 11                          3241  3242                                 1 18000
11-59-35-061785-001-03 3ALIZETI          411 3 41                           142   842                                 2      
11-59-35-061785-001-03 4ALIZETI          41210 41                           701   842                                 2      
36-49-19-371786-001-01 1MAHINDI          111 1 11                          6481  7562                                 1 12000
36-49-19-371786-001-01 2MAHINDI          111 2 11                           781  1082                                 1  5000
36-49-19-371786-001-01 3MAHINDI          112 9 11                           301  1082                                 2      
61-05-13-101798-001-01 1MAHINDI          111 1 11                           851  1062                                 1 12000
61-05-13-101798-001-01 2MAHINDI          112 9 11                           211  1062                                 2      
03-94-16-921799-001-01 1MAHINDI          111 1 11                          1901  2382                                 1 19500
03-94-16-921799-001-01 2MAHINDI          112 9 11                           421  2382                                 2      
03-94-16-921799-001-01 3MTAMA            131 1 13                           811  1062                                 1  9000
03-94-16-921799-001-01 4MTAMA            13218 13                           251  1062                                 2      
96-34-88-551800-001-01 1MAHINDI          111 1 11                          2701  3002                                 1 15000
96-34-88-551800-001-01 2PUMBA            112 9 11                           301  3002                                 2      
96-34-88-551800-001-01 3MTAMA            131 1 13                          1801  1802                                 1  9000
55-36-84-451801-001-01 1MAHINDI          111 1 11                          2161  2162                                 1 24000
55-36-84-451801-001-01 2MTAMA            131 1 13                          7001  7002                                 1 70000
42-29-89-481801-001-04 1MTAMA            131 1 13                          1401  1402                                 1 14000
76-08-90-561802-001-01 1MTAMA            131 1 13                          8701 10442                                 1 58000
76-08-90-561802-001-01 2MTAMA            13218 13                           601 10442                                 2      
20-12-62-771803-001-01 1ALIZETI          411 3 41                           162   802                                 1  4000
11-69-14-701804-001-01 1MAHINDI          111 1 11                           181   202                                 1   800
58-47-83-551805-001-01 1MAHINDI          111 1 11                          1001  1262                                 1 14000
58-47-83-551805-001-01 2MAHINDI          112 9 11                           261  1262                                 2      
58-47-83-551805-001-01 3MTAMA            131 1 11 13                        581   722                                 1  8000
58-47-83-551805-001-01 4MTAMA            13218 13                           141   722                                 2      
37-48-48-041836-001-01 1MAHINDI          111 1 11 36 43                     201   202                                 1  1000
37-48-48-041836-001-01 2MAHINDI          11218 11 36 43                      0    202                                 2      
93-76-89-481837-001-01 1MAHINDI          111 1 11                          2801  3602                                 1 36000
93-76-89-481837-001-01 2MAHINDI          112 9 11                           801  3602                                 2      
26-76-44-681839-001-01 1MAHINDI          111 1 11                          2761  2802                                 1  9600
65-72-55-001840-001-01 1MAHINDI          111 1 11                          4801  5302                                 1 15900
65-72-55-001840-001-01 2MAHINDI          112 9 11                           501  5302                                 2      
99-71-08-471840-001-03 1MAHINDI          111 1 11                          1401  1802                                 1 10000
99-71-08-471840-001-03 2MAHINDI          112 9 11                           401  1802                                 2      
49-42-19-851841-001-01 1MAHINDI          112 9 11                          1411  8592                                 2      
31-86-83-671842-001-01 1ALIZETI          411 3 11 13 36 41 43               202   602                                 2      
31-86-83-671842-001-01 2MAHINDI          111 1 11 13 36 41 43              1501  1802                                 1  8000
31-86-83-671842-001-01 3ALIZETI          41210 11 13 36 41 43               201   602                                 2      
31-86-83-671842-001-01 4MAHINDI          112 9 11 13 36 41 43               301  1502                                 2      
49-86-16-681843-001-01 1MAHINDI          111 1 11 41                       4801  6002                                 1 45000
49-86-16-681843-001-01 2ALIZETI          411 3 41                           102   602                                 2      
49-86-16-681843-001-01 3MAHINDI          112 9 11                          1201  6002                                 2      
49-86-16-681843-001-01 4ALIZETI          41210 41                           451   602                                 2      
86-98-06-331856-001-01 1MAHINDI          111 1 11                          1001  1002                                 1 10000
88-48-03-011856-001-04 1MAHINDI          111 1 11                           401   402                                 1 18000
58-38-27-141857-001-01 1MAHINDI          111 1 11 41                       5001  5002                                 1 25000
58-38-27-141857-001-01 2ALIZETI          411 3 41                            32   302                                 1  1500
58-38-27-141857-001-01 3ALIZETI          41210 41                           231   302                                 2      
07-82-76-341857-001-02 1MAHINDI          111 1 11 34 41                    1701  1902                                 1 10000
07-82-76-341857-001-02 2ALIZETI          411 3 11 34 41                      32   202                                 1  3500
07-82-76-341857-001-02 3MAHINDI          112 9 11 34 41                     201  1902                                 2      
07-82-76-341857-001-02 4ALIZETI          41210 11 34 41                      51   202                                 2      
66-14-13-151858-001-01 1MAHINDI          111 1 11                          5281  5402                                 1 18000
36-33-35-191858-001-09 1MAHINDI          111 1 11                          2151  2202                                 1 12000
